Id	Title	UserCreated	URL	CategoryParent	Category	DocumentType	Institution	CreateDate	ValidTo
1217	Стратегия за управление на държавния дълг за периода 2017-2019 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1217	Национални	Финанси и данъчна политика	Решение	Министерския съвет	12.04.2017	31.12.2017
1216	Национална програма за превенция и защита от домашно насилие за 2016 г.	Свилена Бояджиева	https://localhost:44300/StrategicDocument/View/1216	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	12.04.2017	31.12.2016
1157	Национална  програма за полярни изследвания 2017-2021 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1157	Национални	Наука и технологии	Решение	Министерския съвет	20.09.2016	31.12.2021
1156	Актуализирана държавна политика по планиране и разпределение на радиочестотния спектър в Република България	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1156	Национални	Наука и технологии	Решение	Министерския съвет	20.09.2016	Не е указан срок
1155	Стратегия за децентрализация 2016 - 2025 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1155	Национални	Регионална политика	Решение	Министерския съвет	20.09.2016	31.12.2025
1139	Средносрочна програма за помощ за развитие и хуманитарна помощ за периода 2016 г. – 2019 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1139	Национални	Външна политика, политика по сигурност и отбрана	Протокол	Министерския съвет	29.08.2016	31.12.2019
1138	Обща стратегия за управление и развитие на хидромелиорациите и защита от вредното въздействие на водите	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1138	Национални	Земеделие и развитие на селските райони	Решение	Министерския съвет	29.08.2016	31.12.2030
1120	Национална стратегия за киберсигурност „Кибер устойчива България 2020”	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1120	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	23.08.2016	31.12.2020
1027	План за действие с мерки, адресиращи основните проблемни области, възпрепятстващи нарастването на инвестициите	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1027	Национални	Бизнес среда	Решение	Министерския съвет	03.06.2016	Не е указан срок
1006	Национална програма за противодействие на трафика на хора и закрила на жертвите за 2016 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1006	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	12.05.2016	31.12.2016
1005	Стратегия за развитие на пътната инфраструктура в Република България 2016 - 2022 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1005	Национални	Транспорт	Решение	Министерския съвет	05.05.2016	31.12.2022
1004	Национална програма за профилактика, надзор, контрол и ликвидиране на болестите по животните и зоонозите в България 2016 – 2018 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1004	Национални	Земеделие и развитие на селските райони	Решение	Министерския съвет	05.05.2016	31.12.2018
1003	Средносрочна бюджетна прогноза за периода 2017 - 2019 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1003	Национални	Финанси и данъчна политика	Решение	Министерския съвет	05.05.2016	31.12.2016
1002	Национална отбранителна стратегия	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1002	Национални	Външна политика, политика по сигурност и отбрана	Решение	Министерския съвет	05.05.2016	Не е указан срок
1001	Национални програми за развитие на средното образование	Искрен Иванов	https://localhost:44300/StrategicDocument/View/1001	Национални	Образование	Решение	Министерския съвет	05.05.2016	31.12.2016
989	Национална здравна стратегия 2020	Искрен Иванов	https://localhost:44300/StrategicDocument/View/989	Национални	Здравеопазване	Решение	Народното събрание	13.04.2016	31.12.2020
988	Програма за развитие на отбранителните способности на въоръжените сили на Република България 2020	Искрен Иванов	https://localhost:44300/StrategicDocument/View/988	Национални	Външна политика, политика по сигурност и отбрана	Решение	Народното събрание	13.04.2016	31.12.2020
987	Национална здравна карта на Република България	Искрен Иванов	https://localhost:44300/StrategicDocument/View/987	Национални	Здравеопазване	Решение	Министерския съвет	13.04.2016	Не е указан срок
986	Национална програма за младежта (2016-2020)	Искрен Иванов	https://localhost:44300/StrategicDocument/View/986	Национални	Младежка политика	Решение	Министерския съвет	13.04.2016	31.12.2020
983	Национална статистическа програма за 2016 година	Искрен Иванов	https://localhost:44300/StrategicDocument/View/983	Национални	Междусекторни политики	Решение	Министерския съвет	28.01.2016	31.12.2016
982	Национален план за действие по заетостта през 2016 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/982	Национални	Социална политика и заетост	Решение	Министерския съвет	28.01.2016	31.12.2016
981	Актуализирана средносрочна бюджетна прогноза за периода 2016-2018 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/981	Национални	Финанси и данъчна политика	Решение	Министерския съвет	27.01.2016	31.12.2016
980	Стратегия за изследвания и технологии в сигурността и отбраната	Искрен Иванов	https://localhost:44300/StrategicDocument/View/980	Национални	Външна политика, политика по сигурност и отбрана	Протокол	Министерския съвет	27.01.2016	31.12.2020
979	Стратегия за противодействие на радикализацията и тероризма (2015-2020 г.)	Искрен Иванов	https://localhost:44300/StrategicDocument/View/979	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	27.01.2016	31.12.2020
978	Национален план за сгради с близко до нулево потребление на енергия 2015-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/978	Национални	Енергетика	Решение	Министерския съвет	27.01.2016	31.12.2020
977	Концепция за насърчаване обучението на софтуерни специалисти	Искрен Иванов	https://localhost:44300/StrategicDocument/View/977	Национални	Образование	Протокол	Министерския съвет	21.12.2015	Не е указан срок
975	Иновационна стратегия за интелигентна специализация на Република България 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/975	Национални	Бизнес среда	Решение	Министерския съвет	30.11.2015	31.12.2020
974	План за действие „Предприемачество 2020 - България”	Искрен Иванов	https://localhost:44300/StrategicDocument/View/974	Национални	Бизнес среда	Протокол	Министерския съвет	23.11.2015	31.12.2020
973	Стратегия за управление на държавния дълг за периода 2015-2017 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/973	Национални	Финанси и данъчна политика	Протокол	Министерския съвет	09.11.2015	31.12.2015
